timestamp,tag,value
2024-01-01T00:00:00,REACTOR_TEMP,349.71
2024-01-01T00:00:00,REACTOR_PRESSURE,4.981
2024-01-01T00:00:00,FEED_FLOW,99.44
2024-01-01T00:01:00,REACTOR_TEMP,351.5
2024-01-01T00:01:00,REACTOR_PRESSURE,4.995
2024-01-01T00:01:00,FEED_FLOW,92.51
2024-01-01T00:02:00,REACTOR_TEMP,350.86
2024-01-01T00:02:00,REACTOR_PRESSURE,4.978
2024-01-01T00:02:00,FEED_FLOW,98.92
2024-01-01T00:03:00,REACTOR_TEMP,350.53
2024-01-01T00:03:00,REACTOR_PRESSURE,5.026
2024-01-01T00:03:00,FEED_FLOW,105.82
2024-01-01T00:04:00,REACTOR_TEMP,351.71
2024-01-01T00:04:00,REACTOR_PRESSURE,5.02
2024-01-01T00:04:00,FEED_FLOW,96.31
2024-01-01T00:05:00,REACTOR_TEMP,348.47
2024-01-01T00:05:00,REACTOR_PRESSURE,5.017
2024-01-01T00:05:00,FEED_FLOW,106.56
2024-01-01T00:06:00,REACTOR_TEMP,350.68
2024-01-01T00:06:00,REACTOR_PRESSURE,4.993
2024-01-01T00:06:00,FEED_FLOW,102.66
2024-01-01T00:07:00,REACTOR_TEMP,347.79
2024-01-01T00:07:00,REACTOR_PRESSURE,4.958
2024-01-01T00:07:00,FEED_FLOW,102.45
2024-01-01T00:08:00,REACTOR_TEMP,352.55
2024-01-01T00:08:00,REACTOR_PRESSURE,4.989
2024-01-01T00:08:00,FEED_FLOW,101.88
2024-01-01T00:09:00,REACTOR_TEMP,351.4
2024-01-01T00:09:00,REACTOR_PRESSURE,5.085
2024-01-01T00:09:00,FEED_FLOW,94.43
2024-01-01T00:10:00,REACTOR_TEMP,352.14
2024-01-01T00:10:00,REACTOR_PRESSURE,4.859
2024-01-01T00:10:00,FEED_FLOW,86.9
2024-01-01T00:11:00,REACTOR_TEMP,349.89
2024-01-01T00:11:00,REACTOR_PRESSURE,4.908
2024-01-01T00:11:00,FEED_FLOW,104.38
2024-01-01T00:12:00,REACTOR_TEMP,352.53
2024-01-01T00:12:00,REACTOR_PRESSURE,4.891
2024-01-01T00:12:00,FEED_FLOW,104.24
2024-01-01T00:13:00,REACTOR_TEMP,349.3
2024-01-01T00:13:00,REACTOR_PRESSURE,4.988
